glid,fk_eto_mcat_id,glcat_mcat_name
16939,6497,Flush Valve
16939,42583,Bathroom Faucets
16939,50259,Ceramic Basin
16939,7803,Stainless Steel Kitchen Sinks
16939,183704,CP Bathroom Fittings
18888,138936,Aluminum Roofing Sheet
18888,55116,Color Coated Aluminum Coils
18888,215926,Aluminium Sublimation Sheet
18888,161802,Aluminum Fan Blades
18888,21758,Aluminium Profiles
87257,80653,Lining Fabric
87257,1318,Cotton Fabric
87257,223231,Nighty Fabric
87257,35731,Printed Cotton Fabric
87257,3049,Cotton Dress Material
113147,167255,Rotary Slasher
113147,11126,Grass Cutting Machine
113147,68987,Pitch Roller
113147,161510,Lawn Tractor Mower
113147,55921,Electric Lawn Mower
113709,160028,Plastic Ghamela
113709,164099,Battery Spray Pump
113709,84872,Plastic Flower Pot
113709,148451,Battery Powered Knapsack Sprayer
113709,34995,Plastic Pot
144015,21057,Chair Armrests
144015,135904,Chair Handle
144015,186374,PU Moulded Foam
144015,32088,Lounge Chair
144015,33248,Moulded Foam
150905,183737,HDPE Water Pipe
150905,222298,HDPE Pipe
150905,2046,Underground HDPE Pipes
150905,158581,Double Wall Corrugated Pipes
150905,80415,HDPE Double Wall Corrugated Pipe
283627,154704,Compressor Nebulizer
283627,1149,Surgical Gloves
283627,140274,Nebulizer Machine & Parts
283627,23497,Blood Pressure Machine
283627,2836,Surgical Dressing
424899,178769,Wipro LED Street Light
424899,95554,LED Floodlight
424899,192993,Philips Flood Light
424899,193573,Bajaj Street Lights
424899,95486,Energy Saving Floodlight
445790,106132,Multani Mitti
445790,3796,China Clay
445790,137177,White Kaolin Clay
445790,138779,Kaolin Powder
445790,166241,Attapulgite
470192,158941,Wood Fired Water Heater
470192,68,Industrial Hot Water Boilers
470192,121388,Wood Fired Steam Boilers
470192,29264,Gas Fired Heaters
470192,159550,Water Boilers
546752,5558,Cardamom Oil
546752,11542,Lemongrass Oil
546752,29232,Garlic Oil
546752,20517,Palmarosa Oil
546752,4248,Basil Oil
610606,41423,Wood Chippers
610606,162497,Agricultural Shredder
610606,190857,Tyre Cutting Machine
610606,143432,Sand Screening Machine
610606,153623,Sawdust Making Machine
611645,14668,Butyl Tape
611645,17873,Rubber Tape
611645,204978,Waterproof Tapes
611645,8292,Rubber Compound
611645,21188,Aluminum Foil Tape
678735,154241,Coconut Milk Extractor
678735,142276,Coconut Deshelling Machine
678735,20774,Oil Expellers
678735,141270,Coconut Processing Machinery
678735,138647,Coconut Dehusking Machine
707871,208566,Remi Centrifuge Machine
707871,183216,Bottle Top Dispenser
707871,208567,Remi Laboratory Stirrer
707871,167124,Kjeldahl Distillation Assembly
707871,216790,Laboratory Vacuum Pump
733080,169820,Dry Dates Powder
